unit_id,apn,address,unit_label,bedrooms,first_seen_at
1002-12th-st-204,4281021028,1002 12TH ST,204,2,2026-06-07
1002-12th-st-205,4281021028,1002 12TH ST,205,1,2026-06-07
1002-12th-st-206,4281021028,1002 12TH ST,206,1,2026-06-07
1002-12th-st-207,4281021028,1002 12TH ST,207,2,2026-06-07
1002-12th-st-208,4281021028,1002 12TH ST,208,2,2026-06-07
1002-12th-st-301,4281021028,1002 12TH ST,301,1,2026-06-07
1002-12th-st-302,4281021028,1002 12TH ST,302,1,2026-06-07
1002-12th-st-303,4281021028,1002 12TH ST,303,2,2026-06-07
1002-12th-st-304,4281021028,1002 12TH ST,304,2,2026-06-07
1002-12th-st-305,4281021028,1002 12TH ST,305,1,2026-06-07
1002-12th-st-306,4281021028,1002 12TH ST,306,1,2026-06-07
1002-12th-st-307,4281021028,1002 12TH ST,307,2,2026-06-07
1002-12th-st-308,4281021028,1002 12TH ST,308,2,2026-06-07
1002-14th-st-1,4281013042,1002 14TH ST,1,5,2026-06-07
1002-14th-st-10,4281013051,1002 14TH ST,10,3,2026-06-07
1002-14th-st-2,4281013043,1002 14TH ST,2,5,2026-06-07
1002-14th-st-3,4281013044,1002 14TH ST,3,2,2026-06-07
1002-14th-st-4,4281013045,1002 14TH ST,4,5,2026-06-07
1002-14th-st-5,4281013046,1002 14TH ST,5,3,2026-06-07
1002-14th-st-6,4281013047,1002 14TH ST,6,5,2026-06-07
1002-14th-st-7,4281013048,1002 14TH ST,7,2,2026-06-07
1002-14th-st-8,4281013049,1002 14TH ST,8,2,2026-06-07
1002-14th-st-9,4281013050,1002 14TH ST,9,5,2026-06-07
1002-17th-st,4281003001,1002 17TH ST,,2,2026-06-07
1002-20th-st,4277025027,1002 20TH ST,,3,2026-06-07
1002-7th-st,4292006001,1002 7TH ST,,2,2026-06-07
1002-bay-st,4284015001,1002 BAY ST,,3,2026-06-07
1002-california-ave,4281027023,1002 CALIFORNIA AVE,,2,2026-06-07
1002-grant-st-a,4284014001,1002 GRANT ST,A,3,2026-06-07
1002-grant-st-b,4284014001,1002 GRANT ST,B,2,2026-06-07
1002-grant-st-c,4284014001,1002 GRANT ST,C,2,2026-06-07
1002-grant-st-d,4284014001,1002 GRANT ST,D,1,2026-06-07
1002-hill-st,4285012031,1002 HILL ST,,3,2026-06-07
1002-marine-st-1,4285036023,1002 MARINE ST,1,0,2026-06-07
1002-marine-st-10,4285036023,1002 MARINE ST,10,0,2026-06-07
1002-marine-st-11,4285036023,1002 MARINE ST,11,0,2026-06-07
