unit_id,apn,address,unit_label,prev_observed_at,observed_at,old_mar_cents,new_mar_cents,delta_cents,delta_pct,old_tenancy,new_tenancy,reason,mar_status_change
1002-12th-st-202,4281021028,1002 12TH ST,202,2023-07-19,2026-06-07,189100,204800,15700,8.3,2002-02-15,2002-02-15,mar_adjustment,
1002-12th-st-203,4281021028,1002 12TH ST,203,2023-07-19,2026-06-07,153500,166200,12700,8.3,,,mar_adjustment,
1002-12th-st-204,4281021028,1002 12TH ST,204,2023-07-19,2026-06-07,345000,365300,20300,5.9,2022-01-01,2022-01-01,mar_adjustment,
1002-12th-st-205,4281021028,1002 12TH ST,205,2023-07-19,2026-06-07,295900,305500,9600,3.2,2020-04-11,2023-11-24,new_tenancy,
1002-12th-st-206,4281021028,1002 12TH ST,206,2023-07-19,2026-06-07,99300,305500,206200,207.7,,2024-04-15,new_tenancy,
1002-12th-st-207,4281021028,1002 12TH ST,207,2023-07-19,2026-06-07,343600,389500,45900,13.4,2018-09-20,2026-02-11,new_tenancy,
1002-12th-st-208,4281021028,1002 12TH ST,208,2023-07-19,2026-06-07,286000,306300,20300,7.1,2006-11-01,2006-11-01,mar_adjustment,
1002-12th-st-301,4281021028,1002 12TH ST,301,2023-07-19,2026-06-07,279500,319500,40000,14.3,2022-08-05,2025-11-10,new_tenancy,
1002-12th-st-302,4281021028,1002 12TH ST,302,2023-07-19,2026-06-07,119500,129400,9900,8.3,,,mar_adjustment,
1002-12th-st-303,4281021028,1002 12TH ST,303,2023-07-19,2026-06-07,298000,318300,20300,6.8,2016-01-08,2016-01-08,mar_adjustment,
1002-12th-st-304,4281021028,1002 12TH ST,304,2023-07-19,2026-06-07,345000,375000,30000,8.7,2022-01-22,2024-09-15,new_tenancy,
1002-12th-st-305,4281021028,1002 12TH ST,305,2023-07-19,2026-06-07,93000,100800,7800,8.4,,,mar_adjustment,
1002-12th-st-306,4281021028,1002 12TH ST,306,2023-07-19,2026-06-07,104100,112700,8600,8.3,,,mar_adjustment,
1002-12th-st-307,4281021028,1002 12TH ST,307,2023-07-19,2026-06-07,138900,150500,11600,8.4,,,mar_adjustment,
1002-12th-st-308,4281021028,1002 12TH ST,308,2023-07-19,2026-06-07,339500,359800,20300,6.0,2022-01-01,2022-01-01,mar_adjustment,
1002-14th-st-1,4281013042,1002 14TH ST,1,2023-07-19,2026-06-07,124300,134600,10300,8.3,,,mar_adjustment,
1002-14th-st-10,4281013051,1002 14TH ST,10,2023-07-19,2026-06-07,108600,117500,8900,8.2,,,mar_adjustment,
1002-14th-st-2,4281013043,1002 14TH ST,2,2023-07-19,2026-06-07,134300,145500,11200,8.3,,,mar_adjustment,
1002-14th-st-3,4281013044,1002 14TH ST,3,2023-07-19,2026-06-07,141400,153200,11800,8.3,,,mar_adjustment,
1002-14th-st-4,4281013045,1002 14TH ST,4,2023-07-19,2026-06-07,120900,130900,10000,8.3,,,mar_adjustment,
1002-14th-st-5,4281013046,1002 14TH ST,5,2023-07-19,2026-06-07,88500,95900,7400,8.4,,,mar_adjustment,
1002-14th-st-6,4281013047,1002 14TH ST,6,2023-07-19,2026-06-07,115900,125500,9600,8.3,,,mar_adjustment,
1002-14th-st-7,4281013048,1002 14TH ST,7,2023-07-19,2026-06-07,141400,153200,11800,8.3,,,mar_adjustment,
1002-14th-st-8,4281013049,1002 14TH ST,8,2023-07-19,2026-06-07,124300,134600,10300,8.3,,,mar_adjustment,
1002-14th-st-9,4281013050,1002 14TH ST,9,2023-07-19,2026-06-07,115900,125500,9600,8.3,,,mar_adjustment,
1002-17th-st,4281003001,1002 17TH ST,,2023-07-19,2026-06-07,410400,695000,284600,69.3,2019-11-24,2024-09-15,new_tenancy,
1002-20th-st,4277025027,1002 20TH ST,,2023-07-19,2026-06-07,317600,337900,20300,6.4,,,mar_adjustment,
1002-7th-st,4292006001,1002 7TH ST,,2023-07-19,2026-06-07,152500,165200,12700,8.3,,,mar_adjustment,
1002-bay-st,4284015001,1002 BAY ST,,2023-07-19,2026-06-07,219800,238200,18400,8.4,,,mar_adjustment,
1002-california-ave,4281027023,1002 CALIFORNIA AVE,,2023-07-19,2026-06-07,381000,401300,20300,5.3,2015-01-01,2015-01-01,mar_adjustment,
1002-grant-st-a,4284014001,1002 GRANT ST,A,2023-07-19,2026-06-07,131200,142100,10900,8.3,,,mar_adjustment,
1002-grant-st-b,4284014001,1002 GRANT ST,B,2023-07-19,2026-06-07,120900,130900,10000,8.3,,,mar_adjustment,
1002-grant-st-c,4284014001,1002 GRANT ST,C,2023-07-19,2026-06-07,295900,335500,39600,13.4,2020-02-15,2024-03-23,new_tenancy,
1002-grant-st-d,4284014001,1002 GRANT ST,D,2023-07-19,2026-06-07,260000,280300,20300,7.8,2021-10-01,2021-10-01,mar_adjustment,
1002-hill-st,4285012031,1002 HILL ST,,2023-07-19,2026-06-07,300100,320400,20300,6.8,,,mar_adjustment,
1002-marine-st-1,4285036023,1002 MARINE ST,1,2023-07-19,2026-06-07,101200,109600,8400,8.3,2019-12-26,2019-12-26,mar_adjustment,
1002-marine-st-10,4285036023,1002 MARINE ST,10,2023-07-19,2026-06-07,82000,88800,6800,8.3,2010-09-01,2010-09-01,mar_adjustment,
1002-marine-st-11,4285036023,1002 MARINE ST,11,2023-07-19,2026-06-07,70000,154700,84700,121.0,,2026-04-09,new_tenancy,
1002-marine-st-12,4285036023,1002 MARINE ST,12,2023-07-19,2026-06-07,79700,86300,6600,8.3,,,mar_adjustment,
1002-marine-st-13,4285036023,1002 MARINE ST,13,2023-07-19,2026-06-07,66700,141300,74600,111.8,,2025-05-19,new_tenancy,
1002-marine-st-14,4285036023,1002 MARINE ST,14,2023-07-19,2026-06-07,43000,145300,102300,237.9,2000-09-29,2024-07-23,new_tenancy,
1002-marine-st-15,4285036023,1002 MARINE ST,15,2023-07-19,2026-06-07,103600,112200,8600,8.3,2013-05-16,2013-05-16,mar_adjustment,
