unit_id,apn,address,unit_label,bedrooms,status,mar_2023_cents,mar_2026_cents,mar_delta_cents,mar_pct,tenancy_2023,tenancy_2026,tenancy_changed
1015-9th-st-201,4281029019,1015 9TH ST,201,3,present_both,402000,460500,58500,14.6,2021-07-10,2025-04-01,1
1015-9th-st-202,4281029019,1015 9TH ST,202,2,present_both,135500,146800,11300,8.3,,,
1015-9th-st-203,4281029019,1015 9TH ST,203,3,present_both,395000,498600,103600,26.2,2021-09-01,2023-06-11,1
1015-9th-st-204,4281029019,1015 9TH ST,204,2,present_both,334500,354800,20300,6.1,2021-08-15,2021-08-15,
1015-9th-st-205,4281029019,1015 9TH ST,205,3,present_both,395000,415300,20300,5.1,2022-01-01,2022-01-01,
1015-9th-st-206,4281029019,1015 9TH ST,206,2,present_both,355400,417500,62100,17.5,2019-10-01,2024-09-15,1
1015-9th-st-207,4281029019,1015 9TH ST,207,3,present_both,305800,326100,20300,6.6,2011-01-15,2011-01-15,
1015-9th-st-208,4281029019,1015 9TH ST,208,2,present_both,350000,370300,20300,5.8,2021-11-01,2021-11-01,
1015-9th-st-301,4281029019,1015 9TH ST,301,3,present_both,407000,427300,20300,5.0,2020-10-01,2020-10-01,
1015-9th-st-302,4281029019,1015 9TH ST,302,2,present_both,358000,378300,20300,5.7,2018-02-11,2018-02-11,
1015-9th-st-303,4281029019,1015 9TH ST,303,3,present_both,415000,485000,70000,16.9,2022-02-01,2025-07-01,1
1015-9th-st-304,4281029019,1015 9TH ST,304,2,present_both,288300,308600,20300,7.0,2013-09-16,2013-09-16,
1015-9th-st-305,4281029019,1015 9TH ST,305,3,present_both,386500,406800,20300,5.3,2021-03-30,2021-03-30,
1015-9th-st-306,4281029019,1015 9TH ST,306,2,present_both,354800,375100,20300,5.7,2020-10-16,2020-10-16,
1015-9th-st-307,4281029019,1015 9TH ST,307,3,present_both,417100,437400,20300,4.9,2017-02-27,2017-02-27,
1015-9th-st-308,4281029019,1015 9TH ST,308,2,present_both,345000,365300,20300,5.9,2021-11-01,2021-11-01,
1015-ashland-ave,4285012016,1015 ASHLAND AVE,,2,present_both,306700,327000,20300,6.6,2014-03-01,2014-03-01,
1015-ashland-ave-1,4285012016,1015 ASHLAND AVE,1,2,present_both,305000,320000,15000,4.9,2023-04-01,2025-10-11,1
1015-ashland-ave-2,4285012016,1015 ASHLAND AVE,2,1,present_both,229500,240000,10500,4.6,2023-04-01,2025-03-13,1
1015-ashland-ave-3,4285012016,1015 ASHLAND AVE,3,1,present_both,227500,246400,18900,8.3,2021-11-01,2021-11-01,
1015-ashland-ave-4,4285012016,1015 ASHLAND AVE,4,2,present_both,310000,330300,20300,6.5,2022-07-15,2022-07-15,
1015-ashland-ave-5,4285012016,1015 ASHLAND AVE,5,1,present_both,227500,246400,18900,8.3,2022-06-01,2022-06-01,
1015-ashland-ave-6,4285012016,1015 ASHLAND AVE,6,1,present_both,229500,241800,12300,5.4,2023-05-01,2023-05-01,
1015-georgina-ave,4280006009,1015 GEORGINA AVE,,0,new_since_2023,,0,,,,,
1015-pico-blvd,4283023001,1015 PICO BLVD,,2,present_both,258100,278400,20300,7.9,2010-04-01,2010-04-01,
1015-pier-ave-front,4285028023,1015 PIER AVE,FRONT,2,present_both,0,0,0,,,,
1015-pier-ave-rear,4285028023,1015 PIER AVE,REAR,1,present_both,0,0,0,,,,
1016-centinela-ave,4266002061,1016 CENTINELA AVE,,0,present_both,0,0,0,,,,
1016-chelsea-ave,4277020014,1016 CHELSEA AVE,,4,present_both,241200,261200,20000,8.3,,,
1017-10th-st-1,4281026023,1017 10TH ST,1,3,present_both,483600,520500,36900,7.6,2018-09-01,2024-06-01,1
1017-10th-st-10,4281026023,1017 10TH ST,10,1,present_both,255900,301100,45200,17.7,2020-07-06,2022-12-25,1
1017-10th-st-11,4281026023,1017 10TH ST,11,2,present_both,145800,158000,12200,8.4,,,
1017-10th-st-12,4281026023,1017 10TH ST,12,2,present_both,263100,283400,20300,7.7,2012-10-21,2012-10-21,
1017-10th-st-14,4281026023,1017 10TH ST,14,2,present_both,330400,350700,20300,6.1,2020-01-15,2020-01-15,
1017-10th-st-2,4281026023,1017 10TH ST,2,3,present_both,336100,356400,20300,6.0,2011-11-01,2011-11-01,
1017-10th-st-3,4281026023,1017 10TH ST,3,2,present_both,142700,154600,11900,8.3,,,
1017-10th-st-4,4281026023,1017 10TH ST,4,1,present_both,263600,283900,20300,7.7,2018-12-17,2018-12-17,
1017-10th-st-5,4281026023,1017 10TH ST,5,1,present_both,252000,291000,39000,15.5,2021-04-08,2023-12-07,1
1017-10th-st-6,4281026023,1017 10TH ST,6,3,present_both,371700,509800,138100,37.2,2013-12-01,2022-06-15,1
1017-10th-st-7,4281026023,1017 10TH ST,7,3,present_both,185100,200500,15400,8.3,,,
1017-10th-st-8,4281026023,1017 10TH ST,8,3,present_both,225500,553100,327600,145.3,,2023-01-01,
1017-10th-st-9,4281026023,1017 10TH ST,9,2,present_both,142700,154600,11900,8.3,,,
1017-16th-st-a,4281003018,1017 16TH ST,A,2,present_both,225300,335000,109700,48.7,2009-06-01,2025-03-01,1
1017-16th-st-b,4281003018,1017 16TH ST,B,1,present_both,239500,259400,19900,8.3,2022-05-01,2022-05-01,
1017-16th-st-c,4281003018,1017 16TH ST,C,2,present_both,264500,284800,20300,7.7,2021-01-01,2021-01-01,
1017-16th-st-d,4281003018,1017 16TH ST,D,1,present_both,233000,258200,25200,10.8,2018-04-01,2023-07-01,1
1017-20th-st,4277024024,1017 20TH ST,,0,present_both,119500,129400,9900,8.3,,,
1017-2nd-st-302,4292022033,1017 2ND ST,302,2,present_both,242000,262100,20100,8.3,,,
1017-4th-st-1,4292014018,1017 4TH ST,1,1,present_both,155200,168100,12900,8.3,,,
1017-4th-st-10,4292014018,1017 4TH ST,10,1,present_both,125900,136400,10500,8.3,,,
1017-4th-st-11,4292014018,1017 4TH ST,11,1,present_both,87100,94300,7200,8.3,2022-06-30,2022-06-30,
1017-4th-st-12,4292014018,1017 4TH ST,12,0,present_both,108000,116900,8900,8.2,,,
1017-4th-st-14,4292014018,1017 4TH ST,14,0,present_both,77500,98800,21300,27.5,2021-09-20,2025-02-06,1
1017-4th-st-14-1-2,4292014018,1017 4TH ST,14(1/2),0,present_both,75200,81400,6200,8.2,2016-08-04,2016-08-04,
1017-4th-st-15,4292014018,1017 4TH ST,15,1,present_both,118900,122800,3900,3.3,2010-08-16,2025-09-10,1
1017-4th-st-16,4292014018,1017 4TH ST,16,1,present_both,141200,153000,11800,8.4,,,
1017-4th-st-2,4292014018,1017 4TH ST,2,1,present_both,96100,104100,8000,8.3,,,
1017-4th-st-3,4292014018,1017 4TH ST,3,0,present_both,66700,132700,66000,99.0,,2024-03-14,
1017-4th-st-4,4292014018,1017 4TH ST,4,0,present_both,99400,107700,8300,8.4,2018-07-21,2018-07-21,
1017-4th-st-5,4292014018,1017 4TH ST,5,0,present_both,97700,105800,8100,8.3,,,
1017-4th-st-6,4292014018,1017 4TH ST,6,0,present_both,117700,127500,9800,8.3,2013-03-27,2013-03-27,
1017-4th-st-7,4292014018,1017 4TH ST,7,1,present_both,93900,101700,7800,8.3,,,
1017-4th-st-8,4292014018,1017 4TH ST,8,1,present_both,138100,149700,11600,8.4,,,
1017-4th-st-9,4292014018,1017 4TH ST,9,1,present_both,93200,101000,7800,8.4,2003-09-15,2003-09-15,
1017-5th-st-1,4292011018,1017 5TH ST,1,2,present_both,271200,480000,208800,77.0,,2025-04-01,
1017-5th-st-10,4292011018,1017 5TH ST,10,0,present_both,96200,300000,203800,211.9,,2025-06-01,
1017-5th-st-11,4292011018,1017 5TH ST,11,2,present_both,128300,135900,7600,5.9,,,
1017-5th-st-2,4292011018,1017 5TH ST,2,1,present_both,89500,94800,5300,5.9,,,
1017-5th-st-3,4292011018,1017 5TH ST,3,1,present_both,86200,300000,213800,248.0,,2025-03-04,
1017-5th-st-4,4292011018,1017 5TH ST,4,1,present_both,102200,108300,6100,6.0,,,
1017-5th-st-5,4292011018,1017 5TH ST,5,0,present_both,78100,300000,221900,284.1,,2025-03-01,
1017-5th-st-6,4292011018,1017 5TH ST,6,2,present_both,142900,151300,8400,5.9,,,
1017-5th-st-7,4292011018,1017 5TH ST,7,1,present_both,221800,380000,158200,71.3,2015-09-01,2025-03-04,1
1017-5th-st-8,4292011018,1017 5TH ST,8,1,present_both,87700,92900,5200,5.9,,,
1017-5th-st-9,4292011018,1017 5TH ST,9,1,present_both,101100,310000,208900,206.6,,2025-07-20,
1017-euclid-st-1,4281013020,1017 EUCLID ST,1,2,present_both,145300,350000,204700,140.9,,2024-12-01,
